Parkhaus;Art;Adress;Betriebszeit;Weitere Datei;Freie Plätz
Am Dom;Tiefgarage;Kurt-Hackenberg-Platz 2 50667 Köln;Montag bis Sonntag, durchgehend geöffnet;Einfahrtshöhe: 1,90 Meter Einfahrtsbreite: 2,40 MeterStellplätze: 520 Weitere Informationen;251
Am Gürzenich;Tiefgarage;Quatermarkt 5 50667 Köln;Montag bis Donnerstag, 7 bis 22 UhrFreitag, 7 bis 24 UhrSamstag, 0 bis 24 UhrSonntag, 0 bis 22 Uhr;Einfahrtshöhe: 1,80 Meter Einfahrtbreite: 2,20 MeterStellplätze: 315 Weitere Informationen;179
An Farina;Tiefgarage;Laurenzplatz 4 50667 Köln;Montag bis Sonntag, durchgehend geöffnet;Einfahrtshöhe: 1,90 Meter Einfahrtsbreite: 2,50 MeterStellplätze: 304 Weitere Informationen;134
Galeria Karstadt Kaufhof;Parkhaus;Cäcilienstraße/Hohe Straße 41-53 50667 Köln;Parkhaus: A Montag bis Samstag, 7 bis 19:30 UhrParkhaus B: Montag bis Samstag, 7 bis 20:30 Uhr Sonntag und Feiertage, geschlossen;Einfahrtshöhe: 2 Meter Einfahrtsbreite: 2,50 MeterStellplätze: 1.111 Weitere Informationen;860
Groß Sankt Martin;Tiefgarage;Große Neugasse 4 50667 Köln;Montag bis Sonntag, durchgehend geöffnet;Einfahrtshöhe: 1,90 Meter Einfahrtsbreite: 2,25 MeterStellplätze: 213 Weitere Informationen;87
Hauptbahnhof;Tiefgarage;Breslauer Platz 1/Am Alten Ufer  50668 Köln;Montag bis Sonntag, durchgehend geöffnet;Einfahrtshöhe: 1,90 Meter Einfahrtsbreite: 2,50 MeterStellplätze: 395 Weitere Informationen;288
Heumarkt;Tiefgarage;Markmannsgasse 3 50667 Köln;Montag bis Sonntag, durchgehend geöffnet;Einfahrtshöhe: 1,90 Meter Einfahrtsbreite: 2,40 MeterStellplätze: 429 Weitere Informationen;256
Hohe Straße;Parkhaus;Marspfortengasse 10 50667 Köln;Montag bis Sonntag, durchgehend geöffnet;Einfahrtshöhe: 1,90 MeterStellplätze: 300;96
Maritim;Tiefgarage;Heumarkt 20 50667 Köln;Montag bis Sonntag, durchgehend geöffnet;Einfahrtshöhe: 1,90 MeterStellplätze: 600;262
Philharmonie;Tiefgarage;Bischofsgartenstraße 1 50667 Köln;Montag bis Sonntag, durchgehend geöffnet;Einfahrtshöhe: 1,90 Meter Einfahrtsbreite: 2,25 MeterStellplätze: 372 Weitere Informationen;239
