identifier,longname,status,capacity,free,open_time,close_time,timestamp,tendenz,id,title,slug,zip,city,district,street,housenumber,Datum1,womens_parking,price,phone,open,extra_info,entry_height,entry_width,capacity_brutto,volltext,notice,has_livedata,data_source,owner_url,category,last_edit,lat,lng,data_age
PH02,Am Dom,1,430,193,00:00,,2022-09-02 11:18:27,1,1,Dom,dom,50667,Köln,Innenstadt,Kurt Hackenberg Platz,2,2010-02-04,30,"2,40 € / 24 €",0221/2578505,durchgehend,"Die Zufahrt zum Parkhaus ist nur über den Kurt-Hackenberg-Platz möglich. 

<br />

je angef. 20 min 0,80 € <br />Tag 24,00 € <br />
19 – 9 Uhr je angef. Std. 1,00 €
<br />
Dauereinstellplatz pro Monat 170 €<br />
gesichert durch digitale Videoüberwachung<br>
Barrierefreier Aufzug zum Roncalliplatz",1.90,2.40,610,"Dom 2567543.01 5645422.37 50667 Köln Kurt Hackenberg Platz 2 2010-02-04 30 1,80 € / 18 € 0221/2578505 durchgehend Abrechnung im 20-Minuten-Takt
<br>
Abendtarif: 19h-09h 1,00 € / Std. 
<br>
gesichert durch digitale Videoüberwachung<br>
Barrierefreier Aufzug zum Roncalliplatz 1.90 2.40 610.00 Dom/Rhein 1 ",,1,Parkleitsystem,,Dom/Rhein,2018-02-15 13:47:09,50.94035000,6.95976000,513
PH11,Galeria Kaufhof,1,860,860,07:00,,2022-09-02 11:18:30,0,2,Kaufhof,kaufhof,50667,Köln,,Cäcilienstraße,0,2010-02-04,16,"Normaltarif: 1. Stunde 3 €, danach 2,50 €. Tagesmaximum 20 €
",0221/223-4214,Mo. - Sa. 7.00 bis 20.30  Uhr<br>,"In Parkhaus A befinden sich 16 Frauenparkplätze sowie 10 Behindertenparkplätze. <br />
Inhaber einer Galeria- oder Karstadt-Kundenkarte parken ab 50 € Einkaufswert 1 Stunde gratis, ab 100 € 2 Stunden gratis. Die Parkgebühr wird beim Einkauf abgezogen. ",2.00,2.50,1260,"Kaufhof 2567270.50 5644884.50 50667 Köln Cäcilienstraße 2010-02-04 30 2 € für Nichtkunden; ab 1 € für Kunden 0221/223-4214 P1 Mo. - Do. 7.00 bis 20.30 Uhr; Fr./Sa. 7.00 bis 21.30 Uhr<br>

P2 Mo. - So. 7.00 bis 24.00 Uhr Kundentarif:
bei Einkauf ab 5,00 Euro (Entwertung der Parkscheine an den Kassen)

1. bis 5. Stunde   1,00 Euro / Std.
ab 6. Stunde       1,50 Euro / Std.;

für Nichtkunden:
2 Euro/Stunde 2.00 2.50 1260.00 Dom/Rhein 1 ",,1,Parkleitsystem,,Dom/Rhein,2021-11-30 15:15:49,50.93522197,6.95592037,510
PH03,Groß Sankt Martin,1,185,91,00:00,,2022-09-02 11:18:30,0,3,Groß St. Martin (*),gross_st_martin,50667,Köln,Innenstadt,Große Neugasse,4,2010-02-04,10,60 Cent je angefangene 20 Minuten / 18 €,0221/2580726,durchgehend,"<b>*Baustellenhinweis:</b> <i>Wegen der Bauarbeiten im Umfeld können zeitweise die Datenleitungen unterbrochen sein und während dieser Zeit keine Belegungsdaten übermitteln, obwohl das Parkhaus geöffnet ist.</i><br /><br />

Abrechnung im 20-Minuten-Takt
<br>
Abendtarif: 19h-09h 1,00 € / Std. 
<br>
gesichert durch digitale Videoüberwachung
",1.90,2.10,145,"Groß St. Martin 2567534.28 5645378.58 50667 Köln Große Neugasse 2010-02-04 10 1,50 € / 15 € 0221/2580726 durchgehend Abrechnung im 20-Minuten-Takt
<br>
Abendtarif: 19h-09h 1,00 € / Std. 
<br>
gesichert durch digitale Videoüberwachung

 1.90 2.10 145.00 Dom/Rhein 1 ",,1,Parkleitsystem,,Dom/Rhein,2015-11-25 14:49:29,50.93979000,6.96019000,510
PH31,An Farina,1,200,61,00:00,,2022-09-02 11:18:33,0,4,An Farina,an_farina,50667,Köln,Innenstadt,Laurenzplatz,4,2010-02-04,20,"2,50 € / 25 €",0221/2575875,durchgehend,,1.90,2.50,305,"An Farina 2567335.78 5645247.38 50667 Köln Laurenzplatz 2010-02-04 20 1,70 € / 17 € 0221/2575875 durchgehend 1.95 2.50 305.00 Dom/Rhein 1 ",,1,Parkleitsystem,,Dom/Rhein,2022-01-06 12:12:23,50.93839000,6.95810000,507
PH01,Hauptbahnhof,1,395,220,00:00,,2022-09-02 11:18:24,0,5,Hauptbahnhof,hbf_breslauer_platz,50668,Köln,Innenstadt,Breslauer Platz,1,2006-11-30,40,"1,80 € / 18 €",0221/122312,durchgehend,"Abrechnung im 20-Minuten-Takt; Abendtarif: 19h-09h 1,00 € / Std.; 

DB-Tarif:
10,80 € / Tag",1.90,2.50,500,"Hbf/ Breslauer Platz 2567547.39 5645785.61 50668 Köln Breslauer Platz 1 2006-11-30 40 1,50 € / 15 € 0221/122312 durchgehend Abrechnung im 20-Minuten-Takt; Abendtarif: 19h-09h 1,00 € / Std.; 

DB-Tarif:
10,80 € / Tag 1.90 2.50 500.00 Dom/Rhein 1 ",,1,Parkleitsystem,,Dom/Rhein,2013-10-28 09:48:04,50.94366606,6.95987931,516
PH09,Philharmonie,1,310,256,00:00,,2022-09-02 11:18:48,0,6,Philharmonie (*),philharmonie,50667,Köln,Innenstadt,Bischofsgartenstraße,0,2010-02-04,20,60 Cent je angefangene 20 Minuten / 18 €,0221/2580605,durchgehend,"<b>*Baustellenhinweis:</b> <i>Wegen der Bauarbeiten im Umfeld können zeitweise die Datenleitungen unterbrochen sein und während dieser Zeit keine Belegungsdaten übermitteln, obwohl das Parkhaus geöffnet ist. Phasenweise ist auch die Einfahrt schwer zu finden.</i><br /><br />
Abrechnung im 20-Minuten-Takt
<br>
Abendtarif: 19h-09h 1,00 € /Std.
<br>
gesichert durch digitale Videoüberwachung
<br>
<b>Veranstaltungspreis (Nur für Besucher der Philharmonie)</b> bei Veranstaltungen an Sonn- und Feiertagen und an Werkstagen 1 1/2 Std. vor Konzertbeginn und bis zu 2 Std. nach Ende der Veranstaltung gegen Vorlage der Eintrittskarte                   2,50 €
",1.90,0.00,390,"Philharmonie 2567503.87 5645604.44 50667 Köln Frankenplatz 3 2010-02-04 20 1,50 € / 15 € 0221/2580605 durchgehend Abrechnung im 20-Minuten-Takt
<br>
Abendtarif: 19h-09h 1,00 € /Std.
<br>
gesichert durch digitale Videoüberwachung
<br>
<b>Tagespreis</b> bei Veranstaltungen an Sonn- und Feiertagen und an Werkstagen 1 1/2 Std. vor Konzertbeginn und bis zu 2 Std. nach Ende der Veranstaltung gegen Vorlage der Eintrittskarte                   2,50 €
 1.90 0.00 390.00 Dom/Rhein 1 ",,1,Parkleitsystem,,Dom/Rhein,2015-11-25 14:49:04,50.94049548,6.96137062,492
PH06,Maastrichter Straße,1,450,171,00:00,,2022-09-02 11:18:30,0,7,Maastrichter Strasse,maastrichter_strasse,50672,Köln,,Maastrichter Str.,10,2010-02-04,20,"2,00 € / 20 €",0221/252358,"durchgehend
              ",     ,1.90,2.60,648,"Maastrichter Straße 2565978.97 5645219.00 50672 Köln Maastrichter Str. 10 2010-02-04 20 1,70 € / 17 € 0221/252358 durchgehend
               2.10 2.60 648.00 Ringe 1 ",,1,Parkleitsystem,,Ringe,2017-04-03 09:24:01,50.93844000,6.93787000,510
PH29,Kaiser-Wilhelm-Ring,1,450,247,00:00,,2022-09-02 11:18:31,1,8,Kaiser-Wilhelm-Ring,kaiserwilhelmring,50672,Köln,,Kaiser-Wilhelm-Ring,26,2010-02-04,65,"0,50 EUR je angef. 20 Minuten zw. 9 und 19 Uhr; 1 EUR je angef. Stunde zw. 19 und 9 Uhr / 15 EUR",0221/123210,durchgehend,"<hr>
<b>Behindertengerechtes Parkhaus</b>, Handkassierung möglich
<hr>
Tagestarif Abrechnung im 20-Minuten-Takt
",1.90,2.00,600,"Kaiser-Wilhelm-Ring 2566256.38 5645813.79 50672 Köln Kaiser-Wilhelm-Ring 26 2010-02-04 65 1,20 € / 12 € 0221/123210 durchgehend <hr>
<b>Behindertengerechtes Parkhaus</b>, Handkassierung möglich
<hr>
Abrechnung im 20-Minuten-Takt; Abendtarif: 19h-09h 1,00 € / Std. 
 1.90 2.00 600.00 Ringe 1 ",,1,Parkleitsystem,,Ringe,2019-04-16 10:43:54,50.94369000,6.94199000,509
PH30,Rudolfplatz,1,320,103,00:00,,2022-09-02 11:18:30,0,9,Rudolfplatz,rudolfplatz,50674,Köln,,Habsburgerring,9,2010-02-04,20,"2,00 € / 20,00 €",0221/251825,durchgehend,,1.95,2.80,405,"Rudolfplatz 2566021.15 5644965.49 50674 Köln Habsburgerring 9 2010-02-04 20 1,30 € / 15,50 € 0221/251825 durchgehend Abendtarif: 21h-9h 1,00 € / Std. 1.95 2.80 405.00 Ringe 1 ",,1,Parkleitsystem,,Ringe,2021-03-18 11:35:19,50.93543000,6.93820000,510
PH27,Sparkasse KölnBonn,0,174,0,06:00,,2022-09-02 00:00:01,-1,10,Sparkasse / Schaafenstr.,sk_koeln_schaafenstr,50676,Köln,,Schaafenstraße,56,2010-02-04,12,"2,00 € / 20 €",,24 Stunden Mo.-So. 365 Tage im Jahr,"* 12 Frauenparkplätze im 1. UG

* 10 Behindertenstellplätze (3  im 1. UG, 3 im 2. UG und 4  im 3. UG jeweils in der Nähe der Fahrstühle)
*   gesichert durch digitale Videoüberwachung 

*   Zutritt zum Parkhaus
für Parkhauskunden mit der Parkkarte jederzeit möglich 

*   Notrufsprechstellen aufgeschaltet auf ständig besetzte Leitwarte (24/365) 

*   Barrierefreier Ausgang zum Mauritiuswall",2.00,0.00,238,"SK Köln/Schaafenstr. 2566208.78 5644848.81 50676 Köln Schaafenstraße 2010-02-04 1,30 € / 15,30 € 0221/2262461 durchgehend Abendtarif: 21h-9h 1 € / Std. 2.00 0.00 238.00 Ringe 1 ",,1,Parkleitsystem,,Ringe,2015-03-03 10:59:49,50.93477380,6.94040940,41219
